CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
712411908,44,M,3,High School,Married,$60K - $80K,Blue,34,4,2,5,21158.0,0,21158.0,0.633,4071,67,0.8109999999999999,0.0
718892283,43,M,2,Graduate,Married,$40K - $60K,Blue,34,3,2,1,4396.0,0,4396.0,0.5920000000000001,4771,78,1.053,0.0
718259433,45,F,3,High School,Married,Unknown,Blue,40,1,4,2,8383.0,0,8383.0,1.036,5460,63,0.853,0.0
708748833,37,F,3,Graduate,Single,$40K - $60K,Blue,25,2,2,3,9875.0,1239,8636.0,0.9390000000000001,8920,105,0.6940000000000001,0.125
710839308,34,F,2,High School,Single,Less than $40K,Blue,21,6,1,3,5015.0,1671,3344.0,0.6890000000000001,3161,77,0.878,0.33299999999999996
810974958,51,M,2,High School,Married,$60K - $80K,Blue,46,5,3,2,4123.0,1760,2363.0,0.8690000000000001,2447,40,0.429,0.42700000000000005
816776283,42,M,4,High School,Unknown,$80K - $120K,Gold,37,5,1,2,34516.0,1797,32719.0,1.314,1534,30,0.875,0.052000000000000005
715249533,49,F,3,Graduate,Single,Unknown,Blue,36,3,2,2,3375.0,0,3375.0,0.629,13992,103,0.807,0.0
721091583,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.7879999999999999,1298,15,1.5,0.62
708323208,49,F,3,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522.0,0,1522.0,0.48200000000000004,2241,36,0.8,0.0
715950483,39,F,1,Uneducated,Married,$40K - $60K,Blue,27,3,3,3,2821.0,725,2096.0,0.7040000000000001,2397,35,0.29600000000000004,0.257
713011683,37,F,3,College,Married,Unknown,Blue,24,4,2,4,11239.0,0,11239.0,0.32,2055,43,0.162,0.0
820036533,50,M,4,Unknown,Married,$80K - $120K,Blue,45,2,1,3,34516.0,1466,33050.0,0.693,7223,87,0.611,0.042
714862083,41,F,4,Uneducated,Single,Unknown,Blue,33,6,4,3,5802.0,2490,3312.0,0.8490000000000001,3386,53,1.038,0.429
716432658,48,F,3,High School,Married,Less than $40K,Blue,36,5,2,1,1438.3,0,1438.3,0.6459999999999999,4490,65,0.625,0.0
715240683,46,M,4,High School,Married,$80K - $120K,Blue,37,3,2,3,15535.0,1302,14233.0,0.461,3718,66,0.61,0.084
794516508,43,F,3,High School,Married,Less than $40K,Blue,24,2,2,1,1484.0,0,1484.0,0.532,4838,81,0.929,0.0
789197508,54,M,3,High School,Married,$60K - $80K,Blue,43,6,3,4,2240.0,1580,660.0,0.745,1518,36,0.8,0.705
710665533,42,F,5,Doctorate,Married,Unknown,Blue,23,4,2,2,24602.0,1660,22942.0,0.588,1337,44,0.76,0.067
712955433,36,F,4,Uneducated,Unknown,$40K - $60K,Blue,16,1,2,2,4370.0,1222,3148.0,0.648,7223,90,0.552,0.28
770262183,31,M,0,Uneducated,Single,Less than $40K,Blue,25,5,2,2,5715.0,1741,3974.0,0.816,2324,67,1.03,0.305
717091533,29,F,1,Graduate,Single,Unknown,Blue,36,5,2,3,13613.0,1172,12441.0,0.657,4253,84,0.75,0.086
721005108,41,M,0,College,Married,$40K - $60K,Blue,29,3,2,2,6991.0,1384,5607.0,0.66,14994,104,0.733,0.198
778245633,43,F,3,Graduate,Single,Unknown,Blue,33,3,3,1,2341.0,1818,523.0,0.833,4356,70,0.628,0.777
712552608,46,F,3,Graduate,Married,Less than $40K,Blue,34,3,3,1,1438.3,0,1438.3,0.7140000000000001,2658,43,0.654,0.0
803197833,49,F,1,Post-Graduate,Divorced,$40K - $60K,Blue,44,6,5,2,2597.0,1871,726.0,0.899,3637,69,0.725,0.72
773306658,54,M,1,Unknown,Single,$60K - $80K,Blue,48,4,5,4,4752.0,1230,3522.0,0.883,15678,103,0.7170000000000001,0.259
713974533,52,F,3,Post-Graduate,Single,Less than $40K,Blue,45,5,1,3,2555.0,1701,854.0,1.492,3127,45,1.25,0.6659999999999999
715236783,42,F,4,College,Divorced,$40K - $60K,Blue,36,4,3,2,3734.0,2517,1217.0,0.7240000000000001,4792,87,0.74,0.674
715554708,53,M,1,High School,Unknown,$120K +,Blue,34,2,1,2,8507.0,1484,7023.0,0.7090000000000001,14949,114,0.727,0.174
720789933,46,F,4,Graduate,Married,Unknown,Blue,32,2,1,1,5798.0,680,5118.0,0.708,5027,82,0.64,0.11699999999999999
717567333,35,M,3,Graduate,Married,$60K - $80K,Blue,26,6,3,2,3991.0,1982,2009.0,0.748,1661,35,0.9440000000000001,0.49700000000000005
716230158,35,F,3,Graduate,Married,$40K - $60K,Blue,36,4,1,4,7234.0,2000,5234.0,0.754,4272,83,0.596,0.276
712266633,51,F,2,Unknown,Married,$40K - $60K,Blue,36,2,2,1,14800.0,1020,13780.0,0.8959999999999999,8796,94,0.593,0.069
716349183,58,F,1,Uneducated,Married,Unknown,Blue,36,5,2,3,4784.0,0,4784.0,0.905,2160,54,0.929,0.0
708385533,49,F,1,Graduate,Married,Less than $40K,Silver,36,2,3,3,11059.0,0,11059.0,0.99,9524,80,0.905,0.0
709014558,49,M,2,Uneducated,Married,$60K - $80K,Blue,42,3,3,2,3783.0,0,3783.0,0.59,4383,82,0.7829999999999999,0.0
715487733,44,F,4,Graduate,Married,$40K - $60K,Blue,36,6,3,3,1452.0,0,1452.0,0.5529999999999999,2287,42,0.5,0.0
718504983,45,F,2,Graduate,Married,Less than $40K,Blue,37,6,2,2,6091.0,0,6091.0,0.56,3340,60,0.579,0.0
719962458,44,F,2,Graduate,Unknown,Less than $40K,Blue,34,3,2,2,2561.0,1491,1070.0,0.733,4869,70,0.522,0.5820000000000001
766456683,51,F,1,Graduate,Married,Less than $40K,Blue,44,6,2,0,6160.0,2258,3902.0,0.7170000000000001,3986,80,0.6,0.36700000000000005
720660558,50,M,2,Uneducated,Married,$120K +,Blue,36,4,3,4,23911.0,2100,21811.0,0.988,4770,89,0.7120000000000001,0.08800000000000001
714926508,52,M,2,Graduate,Married,$80K - $120K,Silver,45,5,4,2,34516.0,1938,32578.0,0.807,2275,46,0.43799999999999994,0.055999999999999994
715315833,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,2107,8999.0,0.948,1243,24,1.0,0.19
718216008,48,M,3,Graduate,Married,$60K - $80K,Blue,38,5,2,3,16920.0,2157,14763.0,0.629,3275,60,0.5,0.127
720008133,45,F,4,Graduate,Unknown,Unknown,Blue,36,4,1,3,3416.0,727,2689.0,0.58,4121,83,0.7290000000000001,0.213
708740808,45,M,4,Graduate,Married,$40K - $60K,Blue,36,5,3,4,4112.0,0,4112.0,0.777,2949,54,1.25,0.0
710241858,39,F,4,Unknown,Married,Less than $40K,Blue,31,6,1,4,2890.0,0,2890.0,0.545,2040,36,0.44,0.0
720674133,36,M,1,Uneducated,Married,$40K - $60K,Blue,16,5,3,2,3735.0,2027,1708.0,0.79,1672,48,0.655,0.5429999999999999
708272808,45,M,5,Graduate,Single,Less than $40K,Blue,36,4,2,1,2718.0,1474,1244.0,0.71,3542,59,0.639,0.542
820047858,44,F,4,Graduate,Unknown,Less than $40K,Blue,39,1,4,2,3017.0,1868,1149.0,0.722,2096,50,0.47100000000000003,0.619
714860808,59,F,1,Graduate,Single,Less than $40K,Blue,39,5,3,2,4404.0,2272,2132.0,0.809,15709,93,0.722,0.516
712392108,51,M,3,High School,Married,$60K - $80K,Blue,36,3,2,4,10305.0,691,9614.0,0.485,1451,25,0.667,0.067
715532208,65,F,1,High School,Single,Less than $40K,Blue,55,3,3,2,4010.0,1504,2506.0,0.7659999999999999,3807,61,0.564,0.375
718984533,37,M,3,Graduate,Single,$80K - $120K,Blue,29,6,2,4,7199.0,1274,5925.0,0.639,4552,100,0.7859999999999999,0.177
719574033,38,M,1,High School,Single,$60K - $80K,Blue,28,2,2,2,21906.0,0,21906.0,0.696,15349,119,0.7,0.0
779844408,43,F,1,Post-Graduate,Married,Less than $40K,Blue,27,4,3,3,1438.3,0,1438.3,0.48100000000000004,2137,40,0.33299999999999996,0.0
709690158,52,F,4,Graduate,Married,Less than $40K,Blue,36,6,1,2,4592.0,2517,2075.0,0.5720000000000001,1470,33,0.737,0.5479999999999999
712302783,38,F,2,Uneducated,Single,Less than $40K,Blue,25,2,3,1,2468.0,872,1596.0,0.991,4426,76,1.111,0.353
710915358,63,F,0,College,Single,Unknown,Blue,55,5,1,2,14963.0,1616,13347.0,0.755,3242,58,1.0,0.10800000000000001
827683383,48,F,3,Uneducated,Divorced,Less than $40K,Blue,44,3,2,1,4107.0,2517,1590.0,0.779,16027,112,0.723,0.613
717916758,67,F,0,Unknown,Married,Unknown,Blue,56,4,3,3,10509.0,2388,8121.0,0.777,1365,34,1.429,0.22699999999999998
780688383,35,M,1,Graduate,Unknown,$80K - $120K,Blue,24,4,2,3,21114.0,0,21114.0,0.6970000000000001,3534,56,1.0,0.0
715061733,42,M,3,College,Single,$60K - $80K,Blue,36,4,1,3,11698.0,1060,10638.0,1.2819999999999998,3539,81,0.929,0.091
711119358,38,M,3,Unknown,Married,$60K - $80K,Blue,31,6,1,2,2014.0,896,1118.0,1.055,2460,52,0.857,0.445
710569233,46,M,3,Unknown,Single,$80K - $120K,Blue,35,2,1,1,11814.0,1440,10374.0,0.7979999999999999,9185,100,0.695,0.122
720698883,51,M,1,High School,Single,$80K - $120K,Blue,38,2,3,3,28605.0,0,28605.0,1.054,5524,67,0.718,0.0
721449408,40,F,4,Unknown,Single,Less than $40K,Blue,25,6,2,1,2812.0,2029,783.0,0.634,4763,74,0.762,0.722
709078908,48,F,3,High School,Single,Less than $40K,Blue,32,1,2,3,2648.0,1539,1109.0,0.94,4926,89,0.816,0.581
789394833,47,M,2,Unknown,Divorced,$80K - $120K,Blue,37,1,2,2,21714.0,1969,19745.0,0.9440000000000001,13270,104,0.625,0.091
712404483,49,M,2,High School,Married,$80K - $120K,Blue,36,4,3,1,3989.0,2514,1475.0,0.469,5189,82,0.519,0.63
780118158,27,M,0,Graduate,Single,Less than $40K,Blue,13,2,2,4,3585.0,2420,1165.0,0.812,15656,124,0.746,0.675
754851783,39,M,4,High School,Married,$60K - $80K,Blue,32,4,2,2,19198.0,2218,16980.0,0.802,4423,90,0.667,0.11599999999999999
717804783,40,F,3,Graduate,Single,Less than $40K,Blue,27,5,3,4,6587.0,824,5763.0,1.262,4160,70,0.8420000000000001,0.125
715354983,44,M,3,Graduate,Married,$40K - $60K,Blue,35,6,3,1,6327.0,0,6327.0,0.6659999999999999,3653,77,0.674,0.0
793630083,39,M,2,High School,Single,$120K +,Blue,33,1,3,4,1726.0,1476,250.0,0.371,1804,34,0.259,0.855
778710783,45,M,3,High School,Divorced,$80K - $120K,Blue,26,3,2,2,18410.0,974,17436.0,0.857,3778,83,0.6940000000000001,0.053
718943508,42,M,3,Unknown,Single,$80K - $120K,Blue,33,3,3,2,3714.0,2170,1544.0,0.524,1454,35,0.522,0.584
709455108,49,F,4,Unknown,Married,Less than $40K,Blue,33,3,2,1,2393.0,1667,726.0,0.9740000000000001,3768,79,0.6809999999999999,0.6970000000000001
806165208,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.9059999999999999,1178,27,0.929,0.086
788122533,56,F,1,Graduate,Married,Less than $40K,Blue,48,6,2,2,1438.3,0,1438.3,0.706,1336,32,0.882,0.0
779348358,52,F,1,Uneducated,Single,Less than $40K,Blue,37,5,3,4,1717.0,0,1717.0,1.028,3004,46,0.586,0.0
801709308,44,F,4,Uneducated,Married,Unknown,Blue,38,6,1,2,5366.0,968,4398.0,0.992,4558,56,0.75,0.18
720328008,57,F,1,High School,Unknown,$40K - $60K,Blue,42,3,1,1,2542.0,1884,658.0,0.715,4518,88,1.095,0.741
815860008,40,F,3,Uneducated,Married,Less than $40K,Blue,35,5,2,4,3140.0,2183,957.0,0.58,5109,78,0.733,0.695
788950158,36,M,2,College,Unknown,$80K - $120K,Blue,22,2,2,3,34516.0,1652,32864.0,0.8540000000000001,1283,39,1.294,0.048
709022883,44,F,4,College,Married,Less than $40K,Blue,36,6,3,2,1438.3,0,1438.3,0.6509999999999999,4257,89,0.648,0.0
709361058,35,M,2,Graduate,Married,$60K - $80K,Blue,24,5,1,3,7453.0,0,7453.0,0.7120000000000001,1691,47,0.516,0.0
716454858,35,F,2,Graduate,Married,Less than $40K,Blue,28,6,1,3,4014.0,2266,1748.0,0.718,14257,94,0.958,0.565
713773458,52,M,2,High School,Single,$60K - $80K,Blue,45,5,3,2,7567.0,1173,6394.0,0.541,1435,32,0.6,0.155
718618458,38,M,3,High School,Single,$60K - $80K,Blue,25,5,1,4,9859.0,1305,8554.0,0.722,4345,72,0.674,0.132
716606733,33,F,1,Graduate,Single,$40K - $60K,Blue,18,2,2,3,3043.0,2054,989.0,0.735,4833,85,0.667,0.675
717748608,35,F,4,High School,Married,Less than $40K,Blue,24,3,2,4,1555.0,872,683.0,0.772,2252,51,0.645,0.561
780070833,58,F,2,Unknown,Married,Less than $40K,Blue,43,6,2,2,3034.0,2517,517.0,0.63,1617,29,1.4169999999999998,0.83
712865583,57,F,5,Graduate,Married,$40K - $60K,Blue,49,4,2,2,3301.0,2517,784.0,0.8420000000000001,3939,69,1.226,0.762
720755658,42,F,2,Doctorate,Married,Less than $40K,Blue,32,6,6,0,1592.0,0,1592.0,0.745,4172,70,0.75,0.0
710845308,46,M,4,High School,Married,$80K - $120K,Blue,36,2,2,1,32949.0,1190,31759.0,0.664,14892,113,0.638,0.036000000000000004
709641933,42,F,3,Graduate,Married,$40K - $60K,Blue,36,3,1,2,3433.0,1869,1564.0,0.838,4504,84,0.787,0.544
720323208,43,M,2,Graduate,Married,$120K +,Silver,31,6,2,4,34516.0,2398,32118.0,0.917,4976,88,0.6920000000000001,0.069
713886333,47,M,2,High School,Married,$60K - $80K,Blue,39,2,3,1,18660.0,728,17932.0,0.40299999999999997,1682,43,0.303,0.039
709554483,53,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,3,4840.0,2517,2323.0,0.445,1637,22,1.0,0.52
771455508,60,F,0,College,Single,Less than $40K,Blue,48,5,1,3,1438.3,0,1438.3,0.653,4104,83,0.7290000000000001,0.0
716382708,46,F,2,Graduate,Single,Less than $40K,Blue,36,3,4,3,8309.0,858,7451.0,0.888,1165,35,0.4,0.10300000000000001
714864333,43,M,2,College,Divorced,$120K +,Blue,37,4,1,2,34516.0,0,34516.0,0.536,1370,38,0.35700000000000004,0.0
711453783,41,F,3,Unknown,Single,Less than $40K,Blue,29,4,2,3,1966.0,1452,514.0,0.621,4666,74,0.682,0.7390000000000001
709157133,39,M,1,Unknown,Divorced,$80K - $120K,Blue,34,6,1,3,3766.0,1049,2717.0,0.6659999999999999,1514,51,0.645,0.27899999999999997
711819708,33,F,3,Post-Graduate,Unknown,Unknown,Blue,25,3,2,4,4734.0,2517,2217.0,0.483,2275,55,0.897,0.532
712278108,46,F,2,Unknown,Married,$40K - $60K,Blue,38,6,3,1,1963.0,1112,851.0,0.7609999999999999,4821,67,0.763,0.5660000000000001
710516283,50,M,1,High School,Single,$120K +,Blue,37,4,1,4,9758.0,1792,7966.0,0.626,4134,60,0.765,0.184
809846283,42,F,1,Unknown,Married,Less than $40K,Blue,37,3,3,0,1438.3,0,1438.3,0.72,4154,78,0.8140000000000001,0.0
715717608,41,F,4,Uneducated,Unknown,Less than $40K,Blue,32,4,3,1,3189.0,0,3189.0,0.91,4813,86,0.755,0.0
713901108,37,M,2,High School,Single,$60K - $80K,Blue,29,6,1,4,14575.0,0,14575.0,1.251,3444,80,0.7020000000000001,0.0
771862308,50,M,1,College,Single,$80K - $120K,Blue,39,4,3,2,5856.0,2007,3849.0,0.727,4916,87,0.642,0.34299999999999997
793616883,39,F,5,Graduate,Single,Less than $40K,Blue,33,5,2,2,1438.3,668,770.3,0.9309999999999999,5205,78,0.773,0.46399999999999997
709854483,35,F,1,High School,Married,Unknown,Blue,17,5,3,3,4588.0,2517,2071.0,1.525,2442,62,0.632,0.5489999999999999
787568433,42,M,3,Graduate,Single,$60K - $80K,Blue,33,3,1,3,7328.0,936,6392.0,0.6890000000000001,4518,79,0.795,0.128
715276683,52,M,2,High School,Married,$60K - $80K,Blue,45,5,1,4,24287.0,1676,22611.0,0.506,5495,69,0.816,0.069
798996183,61,F,0,Unknown,Married,Less than $40K,Blue,55,4,2,3,2194.0,1512,682.0,0.725,4069,80,0.778,0.6890000000000001
721107258,45,F,5,Unknown,Unknown,Less than $40K,Blue,37,2,2,2,5465.0,1967,3498.0,0.644,14192,115,0.667,0.36
716953083,53,F,2,Graduate,Married,Unknown,Blue,41,3,2,2,2046.0,1260,786.0,0.768,4228,81,0.884,0.616
718325883,39,M,2,Uneducated,Single,$40K - $60K,Blue,32,6,3,2,7723.0,1902,5821.0,1.181,1241,22,1.0,0.24600000000000002
720092283,40,F,3,Graduate,Single,Less than $40K,Blue,31,4,2,3,2016.0,978,1038.0,0.736,4379,78,0.95,0.485
801502008,37,M,1,Graduate,Married,$60K - $80K,Blue,31,5,1,2,20144.0,1195,18949.0,0.67,14287,106,0.828,0.059000000000000004
780390108,44,F,3,College,Married,$40K - $60K,Blue,34,3,1,2,3256.0,1013,2243.0,0.988,5079,81,0.841,0.311
712948383,48,M,4,Graduate,Married,$60K - $80K,Gold,36,1,6,1,34516.0,0,34516.0,0.72,7396,100,0.562,0.0
719973033,49,F,1,Unknown,Married,Less than $40K,Blue,37,5,5,2,3208.0,0,3208.0,0.9229999999999999,4531,86,0.83,0.0
820288233,26,F,0,Uneducated,Single,Less than $40K,Blue,20,4,3,4,1438.3,0,1438.3,0.764,2731,39,0.5,0.0
713691633,29,M,0,Post-Graduate,Married,Less than $40K,Blue,36,1,1,1,3076.0,0,3076.0,0.924,15514,123,0.892,0.0
714804483,48,M,3,College,Divorced,$40K - $60K,Blue,36,3,3,3,12159.0,1665,10494.0,0.608,1426,34,0.545,0.13699999999999998
718496283,42,F,1,College,Single,Unknown,Silver,31,6,2,3,30770.0,2228,28542.0,0.7120000000000001,15998,121,0.7040000000000001,0.07200000000000001
711499158,47,M,2,Uneducated,Married,$80K - $120K,Silver,38,4,3,4,34516.0,733,33783.0,1.229,3018,60,0.5379999999999999,0.021
715688958,45,F,2,Post-Graduate,Single,Less than $40K,Blue,36,3,1,3,2736.0,2043,693.0,0.8009999999999999,4550,84,0.75,0.747
712947333,54,F,4,Unknown,Married,Less than $40K,Blue,43,3,3,0,5139.0,0,5139.0,0.33,1653,44,0.6920000000000001,0.0
708496833,60,M,1,High School,Single,Less than $40K,Blue,50,4,4,5,4613.0,0,4613.0,0.978,8970,78,1.294,0.0
770778108,49,M,4,Post-Graduate,Married,$60K - $80K,Blue,35,4,2,3,2527.0,1419,1108.0,0.797,3585,68,0.943,0.562
767266758,41,F,2,High School,Single,Less than $40K,Blue,34,1,3,4,1661.0,0,1661.0,0.7859999999999999,2473,49,0.75,0.0
709546608,37,F,2,Uneducated,Married,Less than $40K,Blue,36,6,5,4,1438.3,647,791.3,0.889,4803,64,0.684,0.45
798280683,37,M,3,Post-Graduate,Single,$80K - $120K,Blue,31,6,3,3,2626.0,1736,890.0,0.7859999999999999,4714,93,0.7879999999999999,0.6609999999999999
822138333,61,F,0,Graduate,Single,$40K - $60K,Blue,56,4,3,5,7118.0,813,6305.0,0.475,3964,66,0.65,0.114
713265858,44,M,3,Graduate,Married,$120K +,Blue,32,4,2,2,34516.0,1344,33172.0,0.523,4795,92,0.6729999999999999,0.039
713321508,47,F,3,Unknown,Single,Less than $40K,Blue,36,3,1,4,1965.0,1175,790.0,0.657,4579,87,0.74,0.598
796931508,42,M,4,High School,Unknown,$60K - $80K,Blue,36,4,3,4,1871.0,0,1871.0,0.73,2593,48,0.5479999999999999,0.0
790099758,40,M,3,High School,Married,$40K - $60K,Blue,33,4,3,3,6884.0,1001,5883.0,0.7859999999999999,975,11,0.833,0.145
720034983,26,M,0,Unknown,Unknown,Less than $40K,Silver,13,2,1,1,10254.0,0,10254.0,0.51,4258,68,0.838,0.0
716894658,49,F,1,Graduate,Divorced,Less than $40K,Blue,44,5,2,2,8687.0,1763,6924.0,0.7959999999999999,16824,123,0.708,0.203
823840458,47,F,1,High School,Married,Unknown,Blue,43,4,2,2,1828.0,1517,311.0,0.6609999999999999,4542,82,0.5770000000000001,0.83
823908858,51,M,4,Unknown,Married,$80K - $120K,Blue,47,4,3,2,3861.0,622,3239.0,0.794,4816,81,0.976,0.161
719471433,31,F,0,Graduate,Married,Less than $40K,Blue,22,3,3,2,2917.0,2127,790.0,1.074,1831,36,1.0,0.7290000000000001
779694183,51,M,3,College,Married,$80K - $120K,Blue,34,5,2,4,1864.0,1427,437.0,0.725,3833,73,0.5870000000000001,0.7659999999999999
719051733,63,M,0,College,Single,$60K - $80K,Blue,51,4,2,1,2706.0,889,1817.0,0.73,5047,64,0.882,0.32899999999999996
708286683,57,M,2,Uneducated,Single,$80K - $120K,Blue,43,6,3,1,12045.0,1749,10296.0,0.736,4884,86,0.87,0.145
719739108,62,F,0,Graduate,Divorced,$40K - $60K,Blue,50,3,2,4,11352.0,2517,8835.0,0.7509999999999999,4021,56,0.8059999999999999,0.222
721306908,61,F,1,Graduate,Single,Unknown,Blue,44,4,3,2,2303.0,540,1763.0,0.57,3440,46,0.7040000000000001,0.23399999999999999
710749458,64,F,0,Doctorate,Married,Less than $40K,Blue,53,4,1,3,5462.0,1864,3598.0,0.67,1523,35,0.667,0.341
714906033,47,F,2,Graduate,Single,Less than $40K,Blue,36,6,2,2,5145.0,0,5145.0,0.693,1588,35,0.9440000000000001,0.0
714961383,48,F,3,Uneducated,Single,Less than $40K,Blue,36,3,3,3,1438.3,965,473.3,0.544,4182,81,0.723,0.6709999999999999
713301633,57,F,3,Doctorate,Single,Unknown,Blue,36,5,1,1,1678.0,1162,516.0,0.722,4402,87,0.851,0.6920000000000001
715493733,53,M,2,Graduate,Married,$40K - $60K,Blue,36,2,3,4,5735.0,0,5735.0,1.0090000000000001,9088,64,0.684,0.0
771599283,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,2,5,2492.0,1668,824.0,0.6509999999999999,1606,32,0.882,0.669
709804533,40,M,4,Uneducated,Single,$120K +,Blue,34,3,1,3,17818.0,1451,16367.0,0.632,3973,74,0.451,0.081
721143258,46,M,1,High School,Single,$40K - $60K,Blue,33,6,4,3,1664.0,798,866.0,0.703,4804,66,0.535,0.48
712713108,61,F,0,Graduate,Married,Unknown,Blue,36,6,2,3,2035.0,1883,152.0,0.955,4802,85,0.604,0.925
750147483,49,M,2,High School,Single,$80K - $120K,Blue,37,6,1,4,24299.0,2517,21782.0,0.723,5320,62,0.7709999999999999,0.10400000000000001
719538183,47,M,1,High School,Married,$60K - $80K,Blue,36,4,4,3,20789.0,0,20789.0,0.82,4105,67,0.718,0.0
808281483,46,F,2,Unknown,Single,Less than $40K,Blue,41,2,3,3,2665.0,2157,508.0,0.637,4249,76,1.235,0.809
805453908,33,M,1,High School,Divorced,$40K - $60K,Blue,28,6,1,3,2507.0,1592,915.0,0.691,4355,79,0.8370000000000001,0.635
